Ckpt save path : data/ckpt/161116_BN.ckpt
Reading tar file from data/tar/161109.tgz...
label loaded
[2016-11-16 17:51:18] Training 410000, mini-batch 200 * 2050
[2016-11-16 18:20:09]  6.34 1.60e-03 1.000 8.23e-03 0.998 6.07e-05
[2016-11-16 18:20:35]  6.44 1.98e-04 1.000 7.46e-03 0.998 5.72e-05
[2016-11-16 18:21:02]  6.54 1.43e-03 1.000 7.47e-03 0.998 5.38e-05
[2016-11-16 18:21:28]  6.63 3.27e-04 1.000 7.27e-03 0.998 5.07e-05
[2016-11-16 18:21:55]  6.73 7.75e-04 1.000 7.51e-03 0.998 4.78e-05
[2016-11-16 18:22:22]  6.83 5.86e-04 1.000 7.80e-03 0.998 4.50e-05
[2016-11-16 18:22:49]  6.93 1.21e-03 1.000 7.88e-03 0.998 4.24e-05
[2016-11-16 18:23:17]  7.02 1.82e-04 1.000 7.41e-03 0.998 3.99e-05
[2016-11-16 18:23:43]  7.12 1.94e-04 1.000 7.59e-03 0.998 3.76e-05
[2016-11-16 18:24:09]  7.22 2.04e-04 1.000 7.49e-03 0.998 3.54e-05
[2016-11-16 18:24:35]  7.32 1.02e-02 0.995 7.85e-03 0.998 3.33e-05
[2016-11-16 18:25:01]  7.41 2.94e-04 1.000 7.54e-03 0.998 3.14e-05
[2016-11-16 18:25:28]  7.51 2.48e-04 1.000 7.58e-03 0.998 2.95e-05
[2016-11-16 18:25:54]  7.61 1.72e-04 1.000 7.30e-03 0.998 2.78e-05
[2016-11-16 18:26:21]  7.71 1.94e-04 1.000 7.37e-03 0.998 2.62e-05
[2016-11-16 18:26:48]  7.80 1.69e-03 1.000 8.06e-03 0.998 2.47e-05
[2016-11-16 18:27:15]  7.90 1.09e-02 0.995 7.22e-03 0.998 2.32e-05
[2016-11-16 18:27:42]  8.00 4.64e-03 0.995 7.19e-03 0.998 2.19e-05
[2016-11-16 18:28:08]  8.10 9.76e-05 1.000 7.45e-03 0.998 2.06e-05
[2016-11-16 18:28:34]  8.20 2.55e-03 1.000 7.45e-03 0.998 1.94e-05
[2016-11-16 18:29:00]  8.29 1.66e-04 1.000 7.52e-03 0.998 1.83e-05
[2016-11-16 18:29:27]  8.39 2.24e-03 1.000 7.58e-03 0.998 1.72e-05
[2016-11-16 18:29:53]  8.49 2.23e-04 1.000 7.53e-03 0.998 1.62e-05
[2016-11-16 18:30:20]  8.59 2.88e-04 1.000 7.50e-03 0.998 1.53e-05
[2016-11-16 18:30:47]  8.68 1.31e-04 1.000 7.39e-03 0.998 1.44e-05
[2016-11-16 18:31:13]  8.78 1.82e-04 1.000 7.72e-03 0.998 1.35e-05
[2016-11-16 18:31:40]  8.88 1.94e-04 1.000 7.54e-03 0.998 1.28e-05
[2016-11-16 18:32:07]  8.98 2.00e-04 1.000 7.32e-03 0.998 1.20e-05
[2016-11-16 18:32:35]  9.07 2.14e-04 1.000 7.38e-03 0.998 1.13e-05
[2016-11-16 18:33:01]  9.17 6.95e-03 0.995 7.41e-03 0.998 1.07e-05
[2016-11-16 18:33:27]  9.27 1.89e-03 1.000 7.39e-03 0.998 1.00e-05
[2016-11-16 18:33:53]  9.37 7.41e-04 1.000 7.44e-03 0.998 9.45e-06
[2016-11-16 18:34:20]  9.46 4.60e-03 0.995 7.39e-03 0.998 8.90e-06
[2016-11-16 18:34:46]  9.56 3.15e-04 1.000 7.45e-03 0.998 8.38e-06
[2016-11-16 18:35:13]  9.66 2.22e-04 1.000 7.37e-03 0.998 7.89e-06
[2016-11-16 18:35:40]  9.76 3.88e-03 0.995 7.46e-03 0.998 7.43e-06
[2016-11-16 18:36:07]  9.85 2.08e-04 1.000 7.60e-03 0.998 7.00e-06
[2016-11-16 18:36:34]  9.95 2.05e-03 1.000 7.40e-03 0.998 6.59e-06
[2016-11-16 18:37:01] 10.05 1.13e-04 1.000 7.34e-03 0.998 6.21e-06
[2016-11-16 18:37:27] 10.15 1.81e-04 1.000 7.39e-03 0.998 5.85e-06
[2016-11-16 18:37:53] 10.24 9.68e-05 1.000 7.35e-03 0.998 5.51e-06
[2016-11-16 18:38:20] 10.34 1.11e-03 1.000 7.39e-03 0.998 5.18e-06
[2016-11-16 18:38:46] 10.44 1.23e-04 1.000 7.34e-03 0.998 4.88e-06
[2016-11-16 18:39:13] 10.54 9.88e-04 1.000 7.37e-03 0.998 4.60e-06
[2016-11-16 18:39:39] 10.63 2.28e-04 1.000 7.35e-03 0.998 4.33e-06
[2016-11-16 18:40:06] 10.73 3.69e-04 1.000 7.37e-03 0.998 4.08e-06
[2016-11-16 18:40:33] 10.83 3.33e-04 1.000 7.46e-03 0.998 3.84e-06
[2016-11-16 18:41:00] 10.93 4.14e-04 1.000 7.42e-03 0.998 3.62e-06
[2016-11-16 18:41:27] 11.02 1.11e-04 1.000 7.37e-03 0.998 3.41e-06
[2016-11-16 18:41:53] 11.12 1.44e-04 1.000 7.39e-03 0.998 3.21e-06
[2016-11-16 18:42:19] 11.22 1.27e-04 1.000 7.38e-03 0.998 3.02e-06
[2016-11-16 18:42:46] 11.32 9.18e-03 0.995 7.39e-03 0.998 2.85e-06
[2016-11-16 18:43:12] 11.41 1.62e-04 1.000 7.37e-03 0.998 2.68e-06
[2016-11-16 18:43:39] 11.51 1.71e-04 1.000 7.36e-03 0.998 2.52e-06
[2016-11-16 18:44:05] 11.61 1.21e-04 1.000 7.35e-03 0.998 2.38e-06
[2016-11-16 18:44:32] 11.71 1.62e-04 1.000 7.35e-03 0.998 2.24e-06
[2016-11-16 18:44:59] 11.80 9.03e-04 1.000 7.38e-03 0.998 2.11e-06
[2016-11-16 18:45:26] 11.90 8.51e-03 0.995 7.36e-03 0.998 1.98e-06
[2016-11-16 18:45:53] 12.00 5.03e-03 0.995 7.37e-03 0.998 1.87e-06
[2016-11-16 18:46:19] 12.10 7.80e-05 1.000 7.37e-03 0.998 1.76e-06
[2016-11-16 18:46:45] 12.20 2.81e-03 1.000 7.37e-03 0.998 1.66e-06
[2016-11-16 18:47:11] 12.29 1.49e-04 1.000 7.38e-03 0.998 1.56e-06
[2016-11-16 18:47:37] 12.39 1.93e-03 1.000 7.38e-03 0.998 1.47e-06
[2016-11-16 18:48:04] 12.49 1.50e-04 1.000 7.37e-03 0.998 1.38e-06
[2016-11-16 18:48:30] 12.59 2.06e-04 1.000 7.37e-03 0.998 1.30e-06
